timestamp	ICAO_address	lat	lon	altitude	heading	hor_velocity	ver_velocity	valid_flags	alt_type	callsign	emitter_type	tslc
1750683275	A98046	636548288	-1490920832	5783580	19816	13838	0	01BF	0	CFS7663	2	1
1750683276	AE63B4	628541568	-1480731264	7018019	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683276	A98046	636534784	-1490930304	5783580	19816	13838	0	01BF	0	CFS7663	2	1
1750683277	AE63B4	628487808	-1480808064	7010399	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683277	A98046	636521792	-1490940288	5783580	19816	13838	0	01BF	0	CFS7663	2	1
1750683278	AE63B4	628470592	-1480831872	7010399	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683278	A98046	636508928	-1490950528	5783580	19816	13838	0	01BF	0	CFS7663	2	1
1750683279	AE63B4	628451968	-1480857728	7010399	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683279	A98046	636495680	-1490959872	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683280	AE63B4	628434432	-1480882688	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683280	A98046	636483584	-1490968832	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683281	AE63B4	628417536	-1480906368	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683281	A98046	636472896	-1490976512	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683282	AE63B4	628381824	-1480957056	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683282	A98046	636459904	-1490986496	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683283	AE63B4	628382080	-1480957056	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683283	A98046	636448512	-1490994688	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683284	AE63B4	628363520	-1480983424	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683284	A98046	636435712	-1491004288	5783580	19816	13838	32	01BF	0	CFS7663	2	1
1750683285	AE63B4	628345792	-1481007872	7010399	21278	23510	65504	01BF	0	SHAMN11	5	1
1750683285	A98046	636430208	-1491008512	5791200	19816	13838	32	01BF	0	CFS7663	2	1
1750683286	AE63B4	628328704	-1481031168	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683286	A98046	636422912	-1491013760	5791200	19816	13838	65	01BF	0	CFS7663	2	1
1750683287	AE63B4	628328704	-1481031168	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683287	A98046	636404096	-1491027584	5791200	19816	13838	65	01BF	0	CFS7663	2	1
1750683288	AE63B4	628293440	-1481082112	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683288	A98046	636397504	-1491032576	5791200	19823	13787	65	01BF	0	CFS7663	2	1
1750683289	AE63B4	628274560	-1481108096	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683289	A98046	636378944	-1491046656	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683290	AE63B4	628257728	-1481131904	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683290	A98046	636366784	-1491055616	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683291	AE63B4	628239232	-1481157888	7010399	21278	23510	0	01BF	0	SHAMN11	5	0
1750683291	A98046	636355584	-1491063424	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683292	AE63B4	628239232	-1481157888	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683292	A98046	636342784	-1491073024	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683293	AE63B4	628204736	-1481207424	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683293	A98046	636336512	-1491077632	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683294	AE63B4	628186816	-1481231744	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683294	A98046	636318080	-1491091968	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683295	AE63B4	628168896	-1481256960	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683295	A98046	636306176	-1491100416	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683296	AE63B4	628132608	-1481307776	7010399	21278	23510	0	01BF	0	SHAMN11	5	1
1750683296	A98046	636294272	-1491108864	5791200	19823	13787	32	01BF	0	CFS7663	2	1
1750683297	AE63B4	628133568	-1481306752	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683297	A98046	636282816	-1491117312	5791200	19823	13787	0	01BF	0	CFS7663	2	1
1750683298	AE63B4	628114944	-1481333376	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683298	A98046	636270400	-1491127040	5791200	19823	13787	65504	01BF	0	CFS7663	2	0
1750683299	AE63B4	628114944	-1481333376	7018019	21278	23510	0	01BF	0	SHAMN11	5	2
1750683299	A98046	636259008	-1491135232	5791200	19823	13787	65504	01BF	0	CFS7663	2	1
1750683300	AE63B4	628079680	-1481383168	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683300	A98046	636247552	-1491143680	5791200	19823	13787	65504	01BF	0	CFS7663	2	1
1750683301	AE63B4	628079680	-1481383168	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683301	A98046	636237312	-1491151232	5791200	19823	13787	65504	01BF	0	CFS7663	2	1
1750683302	AE63B4	628044864	-1481432064	7018019	21278	23510	0	01BF	0	SHAMN11	5	1
1750683302	A98046	636225728	-1491159936	5791200	19823	13787	65504	01BF	0	CFS7663	2	1
1750683303	AE63B4	628044864	-1481432064	7018019	21278	23510	0	01BF	0	SHAMN11	5	2
1750683303	A98046	636214144	-1491168000	5791200	19816	13838	65504	01BF	0	CFS7663	2	1
1750683304	AE63B4	628044864	-1481432064	7018019	21278	23510	0	01BF	0	SHAMN11	5	3
1750683304	A98046	636204096	-1491175424	5791200	19816	13838	65504	01BF	0	CFS7663	2	1
1750683305	AE63B4	628044864	-1481432064	7018019	21278	23510	0	01BF	0	SHAMN11	5	4
1750683305	A98046	636192192	-1491183872	5791200	19816	13838	65471	01BF	0	CFS7663	2	1
