ShipName,MMSI,Draught,Length,Width,VesselType,CPATime,CPADist,meanSOG,SLtot,TO_SL_25,TO_SL_31_5,TO_SL_40,TO_SL_50,TO_SL_63,TO_SL_80,TO_SL_100,TO_SL_125,TO_SL_160,TO_SL_200,TO_SL_250,TO_SL_315,TO_SL_400,TO_SL_500,TO_SL_630,TO_SL_800,TO_SL_1000,TO_SL_1250,TO_SL_1600,TO_SL_2000,TO_SL_2500,TO_SL_3150,TO_SL_4000,TO_SL_5000,TO_SL_6300,TO_SL_8000,TO_SL_10000
CROWN PRINCESS,310500000,8.8,290,50,Cruise,7/15/2024 7:50,1842.999663,15.45886748,138.2525887,117.7508968,113.9288184,113.725618,113.3008551,112.6449597,109.242918,108.6935098,108.3624686,109.9140784,108.2119365,108.0897091,108.6972819,108.2716824,109.0139548,110.132894,111.2591197,112.3571408,113.2830593,113.9703262,114.5347835,115.0396072,116.1863191,117.7618144,119.390991,122.5462602,128.5550361,137.1931496
ST JUVENALY,367117530,1,24,8,Tour,7/15/2024 9:36,90.01976646,21.35443548,116.6772871,93.21949698,113.2379998,97.81096186,100.8901049,106.4447742,98.74804882,111.3279783,100.5520617,97.44820639,95.41146831,95.78492636,95.76017368,95.51881796,96.36121018,95.41780432,94.09556772,91.462344,88.68905194,88.15105753,86.68604165,87.08209648,84.94365133,84.01754226,82.77240949,81.5438654,80.20460581,79.66314389
ROYAL PRINCESS,310661000,8.6,330,38,Cruise,5/21/2025 14:12,1199.270923,19.1745098,134.2196419,121.7789203,133.0964344,123.3766925,116.7999157,116.145475,115.5959059,112.6208394,109.8845179,106.8426815,106.6372359,109.1737049,110.1219847,110.2476526,108.5070106,107.9077614,107.8588189,107.0638041,106.0037731,104.7501988,103.316421,102.1905531,101.2452341,100.4619432,99.76194585,99.35489699,100.167306,101.6629789
KONINGSDAM,244830547,8.2,299,40,Cruise,5/21/2025 14:37,1200.924421,16.85983333,127.9599528,121.2597029,121.9487192,116.6023846,120.3834126,119.960245,112.2028296,111.330478,109.4461564,105.7948937,104.1391096,103.8570465,104.6703964,105.8930087,105.9771996,105.6451573,105.3863462,104.7563186,103.7083752,102.3920669,101.0603744,101.2527681,101.4453536,100.8783062,98.09026192,97.70116123,98.44500038,99.45623141
QUEEN ELIZABETH,310625000,8,294,36,Cruise,6/7/2025 14:19,1285.692371,18.78470744,131.6424475,114.8975987,125.5884315,121.3964429,127.1677501,125.6312948,112.9069375,110.6055207,105.072191,100.9620261,98.25612156,94.89684549,94.94043462,94.72981376,94.58410895,93.80394017,93.24563787,92.1751193,91.69888363,91.37680794,91.02145985,90.96309583,91.45742578,91.96119666,92.95154469,94.76605669,98.08456625,103.2858116
ZAANDAM,246442000,8.1,238,33,Cruise,6/15/2025 14:30,1250.895037,16.44640523,132.4444417,119.1976574,129.0174586,123.2815112,127.2993962,119.7947368,111.9339207,103.97952,100.7404796,97.49573947,94.72423694,95.27969143,96.83652688,97.72649858,97.91240744,97.96100943,97.76419106,97.15677438,96.56490574,95.26206534,94.30415793,97.86674965,100.2184823,93.86657437,92.20384489,92.60211101,100.0730592,101.8433575
SERENDIPITY,367114220,NaN,15,4,Private,6/20/2025 8:14,782.7392945,8.59361967,114.8034657,95.33770714,93.12528762,94.92964828,92.74750998,96.32024406,108.0148543,96.36243739,110.6164148,98.00332277,99.4013502,97.56621661,97.67979856,98.11649132,97.83504179,98.47052549,99.62262584,99.93287166,99.34162283,97.86575479,97.24162674,96.30126882,95.47093025,94.66046158,94.05284001,93.24213617,92.89778233,93.15866324
SANDLANCE,338197356,0.5,6,3,NPS,6/20/2025 13:25,758.7907691,11.77413793,110.9024487,93.9586946,97.65993649,92.47525272,94.64062651,94.00641228,96.16411853,108.6733689,101.1155764,91.34358531,92.72101013,89.87643786,96.09222,94.22597789,93.13759452,91.95041533,90.57231658,87.20849391,82.23616072,77.26352151,74.46078754,79.05668315,70.8718851,74.49233096,83.43474387,74.94049228,57.16668015,66.96429403
SERENDIPITY,367114220,NaN,15,4,Private,6/22/2025 12:43,765.9679833,9.62,105.795872,92.49130588,90.56634798,90.64175616,89.75712026,88.07835127,99.90131039,86.01937078,102.6315672,90.65892766,92.36375751,82.22420279,81.4470326,80.27162617,80.95825834,81.67270119,80.77065327,77.94811517,74.5287679,72.77038531,68.78273729,64.44899242,60.36587166,53.35000011,54.18802304,56.55318487,59.55854878,63.9194284
SAFARI ENDEAVOUR,338423000,2.5,NaN,NaN,Tour,7/2/2025 1:58,776.0497506,10.70793865,123.5272306,99.77475976,105.8923536,103.132457,105.7867404,104.1705099,122.8872238,107.9293499,106.46513,106.4252901,94.93060378,94.2360069,95.25726863,95.88601805,95.46472504,94.17868729,92.63803673,91.48669947,89.59082191,87.76587247,86.31438941,85.08694006,83.80289016,82.57924244,81.37350018,80.22988172,79.20025491,78.88231611
MAKAI,316049575,NaN,9,3,Private,7/2/2025 16:22,304.4004556,27.053125,106.9120666,85.15850709,96.36612765,90.1284587,89.20083192,92.18453328,97.73555153,100.1186547,100.8281319,91.72671447,93.13064373,90.9586521,93.00441453,92.76732194,90.79886359,87.63425146,87.31434574,87.47232477,85.36179389,83.70296309,82.15537088,81.09673318,78.9302604,77.11720852,74.81266774,72.33399107,70.84441661,66.81584923
SAFARI ENDEAVOUR,338423000,2.5,NaN,NaN,Tour,7/2/2025 18:23,766.1198566,8.684399529,117.146039,93.98712384,106.1058507,94.87587436,99.25232565,113.5152341,107.7298251,110.2637329,106.3018805,99.96116064,95.40133037,92.98180687,94.13674824,95.55757813,95.81464666,93.4650566,89.84566511,87.69806395,86.10762969,84.50898937,82.37167736,81.81409683,83.52801811,78.57552464,77.4242605,76.64390958,76.74887531,76.76667836
BARANOF WIND,367365630,1,23,10,Tour,7/5/2025 14:24,674.2122582,24.3,136.0196224,109.3111513,107.8266036,110.2086852,111.2617699,122.3615144,119.8120844,135.5578469,113.3644313,117.887014,108.5067366,103.4716982,102.3470075,100.272991,97.87660387,95.69906325,93.98356717,91.68608257,89.35049667,87.16485864,84.6339168,82.61507174,82.25193811,79.44342059,76.52000813,77.83599647,85.15157699,80.03173746
ALASKAN KUSTI,338475943,NaN,16,6,Private,7/5/2025 14:51,1093.38806,25.65702479,120.2698148,112.2915392,111.1218894,110.6484568,107.5578581,111.0328881,107.1810734,113.0849525,107.5388898,101.2209855,103.2585493,107.6530671,103.5475607,100.5682052,99.58867476,96.92311505,97.87901137,93.70140875,89.03601721,86.5168476,83.3461269,79.94613517,82.16117984,78.76225633,76.95903248,81.27123151,90.48278316,86.16855253
SAFARI ENDEAVOUR,338423000,2.5,NaN,NaN,Tour,7/6/2025 5:34,789.2863849,7.101176626,114.7969283,94.29372865,103.997002,104.477134,98.46526184,103.7687965,112.4590154,99.60722473,102.4547021,93.50289728,87.73118097,88.09886017,89.99777922,91.05295054,89.16240935,86.28912395,84.87570977,83.32153378,81.28915061,79.33257539,76.66062123,88.92632931,95.19626856,84.96568705,70.44524845,70.70247916,68.24308397,61.74326962
NAT GEO VENTURE,369358000,4,73,14,Tour,7/8/2025 21:39,794.1248722,8.769333333,122.134409,83.61808511,95.30452371,96.99703163,89.5235122,105.28345,117.2351938,119.7751913,108.7258926,96.44504881,93.45734361,92.28249449,92.08542566,92.46544817,92.52393797,93.57887835,95.06507367,95.6805651,95.17627563,93.69289264,93.20133173,92.62808838,91.75985277,91.10300772,90.04228445,89.15948814,88.33255483,88.38110301
ALASKA DREAM,368089260,NaN,NaN,NaN,Charter,7/10/2025 17:35,200.3466201,23.7,106.3991636,98.91909161,98.58165519,94.70437478,92.27887652,95.70754768,87.71940713,86.88866811,100.3263805,91.43803632,89.39831265,88.2810551,88.48242232,89.23221025,90.89356089,89.65081632,84.2433072,84.51487262,84.61587846,83.81578107,83.06289284,81.80730314,80.10837182,78.61782545,78.08957511,76.82974948,75.08206901,73.59174766
